name,natoms,pt_group,homo,lumo,ie,axx,ayy,azz,dipole,tR,dtR
c60-Ih_m_13537615,60,Ih,-6.3245,-3.5924,7.52649,550.36956,550.37056,550.37122,5e-05,6.2011,0.2028
c70-D5h_m_13549214,70,D5h,-6.2598,-3.5952,7.3887,658.20207,658.24687,726.56127,0.00073,7.3267,0.2064
c76-D2_m_18038630,76,D2,-5.7732,-3.8198,6.87241,667.97304,755.68928,808.63464,0.00011,8.1774,0.1519
c90-D5h_m_13556984,90,D5h,-5.6354,-3.7026,6.66442,784.79572,784.81263,1125.5408,0.00097,11.9965,0.3112
c96-D3d_m_13566203,96,D3d,-5.7407,-3.6714,6.73643,843.27684,843.41656,1240.35192,3e-05,13.5307,0.2671
c100-D5d_m_13556989,100,D5d,-5.7761,-3.6015,6.75787,881.92292,881.96701,1383.02165,4e-05,18.6793,0.3544
c114-D3h_m_13566350,114,D3h,-5.543,-3.6621,6.46648,983.19705,983.45819,1717.1116,0.0003,25.8780,0.4523
c120-D5d_m_13620756,120,D5d,-5.2886,-3.851,6.19482,1015.54648,1015.59867,1948.05091,6e-05,33.6436,0.6347
c130-D5h_m_13563383,130,D5h,-5.493,-3.6736,6.3662,1105.45761,1105.53226,2301.04001,0.00111,47.4407,1.0581
